Sequence Name	Name	Type	Minimum	Maximum	Length	Direction
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	anaerobic sulfatase maturase CDS	CDS	341954	343111	1158	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	341954	343111	1158	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	sorE 1 CDS	CDS	341890	343167	1278	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	sorE 1 gene	gene	341890	343167	1278	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	fructose 1,6-bisphosphatase CDS	CDS	341705	341893	189	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	gene	gene	341705	341893	189	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	MtlR family transcriptional regulator CDS	CDS	341047	341556	510	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	gene	gene	341047	341556	510	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	mdoH CDS	CDS	340965	343478	2514	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	mdoH gene	gene	340965	343478	2514	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	yggC CDS	CDS	340337	341050	714	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	yggC gene	gene	340337	341050	714	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	Ser-type periplasmic non-aryl sulfatase CDS	CDS	340220	341902	1683	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	340220	341902	1683	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	ecfA2 CDS	CDS	339688	340365	678	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	ecfA2 gene	gene	339688	340365	678	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	mdoG CDS	CDS	339440	340942	1503	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	mdoG gene	gene	339440	340942	1503	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	AraC family transcriptional regulator CDS	CDS	339057	339818	762	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	339057	339818	762	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	ABC transporter ATP-binding protein CDS	CDS	339017	339694	678	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	gene	gene	339017	339694	678	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	two-component-system connector protein SafA CDS	CDS	338748	338981	234	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	338748	338981	234	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	ecfT CDS	CDS	338322	339029	708	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	ecfT gene	gene	338322	339029	708	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	mdoC CDS	CDS	337856	339013	1158	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	mdoC gene	gene	337856	339013	1158	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	qrtT CDS	CDS	337743	338321	579	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	qrtT gene	gene	337743	338321	579	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	DNA-binding protein CDS	CDS	337289	337720	432	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	gene	gene	337289	337720	432	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	clsC CDS	CDS	336367	337848	1482	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	clsC gene	gene	336367	337848	1482	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	oxidoreductase CDS	CDS	336257	338536	2280	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	336257	338536	2280	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	D-erythrose-4-phosphate dehydrogenase CDS	CDS	335898	336917	1020	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	gene	gene	335898	336917	1020	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	RNase III inhibitor CDS	CDS	335892	336425	534	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	gene	gene	335892	336425	534	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	hypothetical protein CDS	CDS	335486	335797	312	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	gene	gene	335486	335797	312	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	csgC CDS	CDS	335033	335365	333	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	csgC gene	gene	335033	335365	333	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	fimbrial-like adhesin protein CDS	CDS	335004	335918	915	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	335004	335918	915	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	pgk CDS	CDS	334685	335848	1164	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	pgk gene	gene	334685	335848	1164	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	csgA CDS	CDS	334516	334974	459	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	csgA gene	gene	334516	334974	459	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	fimbrial-like adhesin protein CDS	CDS	334441	334944	504	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	334441	334944	504	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	minor curlin subunit CDS	CDS	334020	334475	456	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	gene	gene	334020	334475	456	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	fimbrial-like adhesin protein CDS	CDS	333898	334428	531	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	333898	334428	531	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	fbaA 1 CDS	CDS	333391	334470	1080	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	fbaA 1 gene	gene	333391	334470	1080	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	csgD CDS	CDS	332617	333267	651	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	csgD gene	gene	332617	333267	651	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	mscS CDS	CDS	332340	333200	861	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	mscS gene	gene	332340	333200	861	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	csgE CDS	CDS	332223	332612	390	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	csgE gene	gene	332223	332612	390	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	csgF CDS	CDS	331782	332198	417	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	csgF gene	gene	331782	332198	417	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	lysE CDS	CDS	331566	332201	636	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	lysE gene	gene	331566	332201	636	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	fimD 1 CDS	CDS	331233	333884	2652	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	fimD 1 gene	gene	331233	333884	2652	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	csgG CDS	CDS	330922	331755	834	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	csgG gene	gene	330922	331755	834	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	oxidative stress defense protein CDS	CDS	330733	331473	741	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	gene	gene	330733	331473	741	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	fimC 1 CDS	CDS	330481	331191	711	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	fimC 1 gene	gene	330481	331191	711	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	membrane protein CDS	CDS	330337	330858	522	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	gene	gene	330337	330858	522	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	molecular chaperone CDS	CDS	329711	330265	555	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	gene	gene	329711	330265	555	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	LysR family transcriptional regulator CDS	CDS	329679	330575	897	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	gene	gene	329679	330575	897	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	fimA 1 CDS	CDS	329556	330119	564	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	fimA 1 gene	gene	329556	330119	564	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	ycdX CDS	CDS	328950	329687	738	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	ycdX gene	gene	328950	329687	738	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	methylmalonyl-CoA mutase CDS	CDS	328588	329682	1095	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	gene	gene	328588	329682	1095	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	hypothetical protein CDS	CDS	328449	328754	306	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	328449	328754	306	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	ghrA CDS	CDS	327957	328895	939	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	ghrA gene	gene	327957	328895	939	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	lsrA CDS	CDS	327848	328414	567	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	lsrA gene	gene	327848	328414	567	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	tRNA-Ser	tRNA	327637	327724	88	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	gene	gene	327637	327724	88	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	iciA CDS	CDS	327492	328385	894	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	iciA gene	gene	327492	328385	894	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	autoinducer 2 import system permease LsrC CDS	CDS	327394	327906	513	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	327394	327906	513	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	hypothetical protein CDS	CDS	327121	327351	231	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	gene	gene	327121	327351	231	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	hypothetical protein CDS	CDS	326859	327545	687	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	gene	gene	326859	327545	687	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	rpiA CDS	CDS	326406	327065	660	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	rpiA gene	gene	326406	327065	660	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	lsrD CDS	CDS	326402	327394	993	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	lsrD gene	gene	326402	327394	993	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	lsrB CDS	CDS	325368	326390	1023	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	lsrB gene	gene	325368	326390	1023	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	phosphate starvation protein PhoH CDS	CDS	325206	326270	1065	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	gene	gene	325206	326270	1065	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	autoinducer-2 (AI-2) aldolase CDS	CDS	325048	325341	294	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	325048	325341	294	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	serA CDS	CDS	324918	326150	1233	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	serA gene	gene	324918	326150	1233	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	autoinducer-2 (AI-2) aldolase CDS	CDS	324477	325043	567	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	324477	325043	567	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	lsrG CDS	CDS	324163	324453	291	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	lsrG gene	gene	324163	324453	291	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	5-formyltetrahydrofolate cyclo-ligase CDS	CDS	323926	324528	603	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	gene	gene	323926	324528	603	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	efeB CDS	CDS	323584	324855	1272	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	efeB gene	gene	323584	324855	1272	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	zapA CDS	CDS	323351	323680	330	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	zapA gene	gene	323351	323680	330	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	tam CDS	CDS	323348	324106	759	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	tam gene	gene	323348	324106	759	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	YecA family protein CDS	CDS	322605	323183	579	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	gene	gene	322605	323183	579	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	efeO CDS	CDS	322451	323578	1128	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	efeO gene	gene	322451	323578	1128	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	yneE CDS	CDS	322430	323344	915	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	yneE gene	gene	322430	323344	915	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	efeU CDS	CDS	321563	322393	831	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	efeU gene	gene	321563	322393	831	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	pepP CDS	CDS	321254	322579	1326	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	pepP gene	gene	321254	322579	1326	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	uxaB CDS	CDS	320782	322233	1452	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	uxaB gene	gene	320782	322233	1452	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	ubiH CDS	CDS	320079	321257	1179	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	ubiH gene	gene	320079	321257	1179	reverse
ESC_JB6296AA_AS_NODE_4_length_321218_cov_9.309749	lactose operon repressor CDS	CDS	320048	321139	1092	forward
ESC_JB6296AA_AS_NODE_4_length_321218_cov_9.309749	gene	gene	320048	321139	1092	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	putP CDS	CDS	319835	321343	1509	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	putP gene	gene	319835	321343	1509	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	hypothetical protein CDS	CDS	319468	319677	210	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	gene	gene	319468	319677	210	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	diguanylate cyclase CDS	CDS	319137	320555	1419	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	319137	320555	1419	forward
ESC_JB6296AA_AS_NODE_4_length_321218_cov_9.309749	mhpR CDS	CDS	319033	319980	948	forward
ESC_JB6296AA_AS_NODE_4_length_321218_cov_9.309749	mhpR gene	gene	319033	319980	948	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	ubiI CDS	CDS	318854	320056	1203	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	ubiI gene	gene	318854	320056	1203	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	assembly gap	assembly_gap	318718	318727	10	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	hypothetical protein CDS	CDS	318639	318998	360	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	318639	318998	360	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	glsA 1 CDS	CDS	317713	318639	927	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	glsA 1 gene	gene	317713	318639	927	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	gcvT CDS	CDS	317293	318387	1095	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	gcvT gene	gene	317293	318387	1095	reverse
ESC_JB6296AA_AS_NODE_4_length_321218_cov_9.309749	mhpA CDS	CDS	317292	318956	1665	reverse
ESC_JB6296AA_AS_NODE_4_length_321218_cov_9.309749	mhpA gene	gene	317292	318956	1665	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	gcvH CDS	CDS	316880	317269	390	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	gcvH gene	gene	316880	317269	390	reverse
ESC_JB6296AA_AS_NODE_4_length_321218_cov_9.309749	mhpB CDS	CDS	316346	317290	945	reverse
ESC_JB6296AA_AS_NODE_4_length_321218_cov_9.309749	mhpB gene	gene	316346	317290	945	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	sad CDS	CDS	316261	317649	1389	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	sad gene	gene	316261	317649	1389	forward
ESC_JB6296AA_AS_NODE_4_length_321218_cov_9.309749	2-hydroxy-6-oxononadienedioate/2-hydroxy-6- oxononatrienedioate hydrolase CDS	CDS	315462	316328	867	reverse
ESC_JB6296AA_AS_NODE_4_length_321218_cov_9.309749	gene	gene	315462	316328	867	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	bifunctional protein PutA CDS	CDS	315451	319413	3963	reverse
